,roi_name,geom_mica,idx_csv,geom_csv
86,7Networks_LH_Default_PF,[-52.37188720703125 21.490589141845703 5.322096347808838],86,[-52 22 8]
87,7Networks_LH_Default_PF,[-6.5145978927612305 43.146080017089844 7.590231895446777],87,[-6 44 8]
88,7Networks_LH_Default_PF,[-5.425283432006836 55.61846923828125 17.610301971435547],88,[-8 60 20]
89,7Networks_LH_Default_PF,[-5.773334503173828 29.131969451904297 26.739025115966797],89,[-6 30 24]
90,7Networks_LH_Default_PF,[-12.840158462524414 46.97227478027344 43.93389892578125],90,[-12 48 44]
91,7Networks_LH_Default_PFC,[-4.898599147796631 30.576534271240234 42.157344818115234],91,[-4 34 44]
92,7Networks_LH_Default_PFC,[-42.512306213378906 20.200042724609375 47.292701721191406],92,[-40 18 50]
93,7Networks_LH_Default_PFC,[-22.65725326538086 24.044519424438477 45.30402374267578],93,[-24 24 48]
94,7Networks_LH_Default_PFC,[-12.684206008911133 16.910446166992188 61.9186897277832],94,[-10 16 64]
95,7Networks_LH_Default_pCunPC,[-10.135382652282715 -61.4024772644043 10.905922889709473],95,[-10 -56 12]
96,7Networks_LH_Default_pCunPC,[-3.787489414215088 -53.62050247192383 27.68509864807129],96,[-6 -54 28]
97,7Networks_LH_Default_pCunPC,[-2.1632373332977295 -28.625629425048828 39.47400665283203],97,[-4 -30 36]
98,7Networks_LH_Default_pCunPC,[-7.154416084289551 -55.36613845825195 42.138771057128906],98,[-6 -54 42]
99,7Networks_LH_Default_PH,[-25.014205932617188 -35.984031677246094 -19.943241119384766],99,[-26 -32 -18]
100,7Networks_RH_Vi,[40.01482391357422 -36.45672607421875 -26.589183807373047],100,[38 -34 -24]
101,7Networks_RH_Vi,[28.150691986083984 -40.512386322021484 -13.17479133605957],101,[28 -36 -14]
102,7Networks_RH_Vi,[26.989810943603516 -71.51263427734375 -13.466150283813477],102,[28 -68 -12]
103,7Networks_RH_Vi,[12.365419387817383 -64.09918975830078 -6.115243911743164],103,[12 -64 -4]
104,7Networks_RH_Vi,[43.91382598876953 -75.90776062011719 -4.471738815307617],104,[48 -72 -6]
105,7Networks_RH_Vi,[13.14862060546875 -94.54912567138672 -4.1557416915893555],105,[12 -92 -6]
106,7Networks_RH_Vi,[15.424906730651855 -48.285560607910156 -0.757916271686554],106,[16 -46 -2]
107,7Networks_RH_Vi,[30.777267456054688 -95.77315521240234 -3.9674224853515625],107,[30 -94 -4]
108,7Networks_RH_Vi,[7.365821838378906 -74.80525207519531 8.500603675842285],108,[8 -76 8]
109,7Networks_RH_Vis,[21.615978240966797 -62.43269729614258 7.15651798248291],109,[22 -60 8]
110,7Networks_RH_Vis,[37.59679412841797 -82.08138275146484 11.965408325195312],110,[42 -80 10]
111,7Networks_RH_Vis,[17.43584632873535 -89.21797180175781 19.818710327148438],111,[20 -90 22]
112,7Networks_RH_Vis,[12.651723861694336 -74.8187484741211 23.46025276184082],112,[10 -74 26]
113,7Networks_RH_Vis,[15.155515670776367 -82.83293914794922 38.78523254394531],113,[16 -84 40]
114,7Networks_RH_Vis,[28.0037841796875 -71.50349426269531 28.388813018798828],114,[32 -74 32]
115,7Networks_RH_SomMo,[52.400543212890625 -18.44573211669922 6.903717994689941],115,[52 -14 4]
116,7Networks_RH_SomMo,[62.69080352783203 -26.611480712890625 8.023279190063477],116,[64 -24 8]
117,7Networks_RH_SomMo,[39.388038635253906 -17.011594772338867 14.54894733428955],117,[38 -14 14]
118,7Networks_RH_SomMo,[42.97734832763672 -28.837722778320312 17.72614097595215],118,[44 -28 18]
119,7Networks_RH_SomMo,[58.41289520263672 -2.8371996879577637 9.008543014526367],119,[60 0 10]
120,7Networks_RH_SomMo,[55.7861328125 -17.03561019897461 15.391362190246582],120,[56 -12 14]
121,7Networks_RH_SomMo,[55.2003059387207 -9.8289213180542 31.2417049407959],121,[58 -4 30]
122,7Networks_RH_SomMo,[10.506336212158203 -15.143976211547852 41.14496612548828],122,[10 -16 42]
123,7Networks_RH_SomMo,[49.64774703979492 -24.71783447265625 50.63627624511719],123,[52 -22 52]
124,7Networks_RH_SomMot,[44.18769454956055 -11.951383590698242 46.22609329223633],124,[46 -12 48]
125,7Networks_RH_SomMot,[6.5142951011657715 -10.619067192077637 49.65134811401367],125,[6 -10 52]
126,7Networks_RH_SomMot,[35.09601593017578 -25.287105560302734 53.84356689453125],126,[40 -24 58]
127,7Networks_RH_SomMot,[29.227310180664062 -42.300514221191406 57.790443420410156],127,[32 -40 64]
128,7Networks_RH_SomMot,[29.152938842773438 -24.041900634765625 61.5439567565918],128,[34 -20 66]
129,7Networks_RH_SomMot,[27.267597198486328 -36.32915115356445 63.128662109375],129,[28 -34 66]
130,7Networks_RH_SomMot,[23.255634307861328 -11.808305740356445 63.5230598449707],130,[22 -8 68]
