glasser_roi,1_Visual_A,2_Visual_B,3_Somatomotor_A,4_Somatomotor_B,5_Temporal_Parietal,6_Frontoparietal_Area,7_Dorsal_Attention_B,8_Salience+Ventral_Attention_A,9_Salience+Ventral_Attention_B,10_Control_A,11_Control_B,12_Control_C,13_Default_A,14_Default_B,15_Default_C,16_Limbic_A,17_Limbic_B
Inferior_6-8_Transitional_Area,0.0,0.0,0.0,0.0,5.7185337679419e-05,0.00527500351666901,0.00010136590557765897,0.0,0.0,0.0,0.0,0.01718496315723742,0.02061723652196184,0.0001795009872554299,0.0,0.0004902422928254926,0.0019488745249618344
Superior_6-8_Transitional_Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020905194940942823,0.0,0.0,0.0,0.0063699059561128524,0.020173898145371995,0.0,0.0,0.013087470449172576,0.008923046862278959
Area_43,0.0,0.0,0.0,0.06123434349172087,0.0,0.0,0.025072082236429732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area_OP4/PV,0.0,0.0,0.0008501335924216663,0.11473511271512832,0.0,0.0,0.018945102260495155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area_OP1/SII,0.0,0.0,0.011971268954509178,0.05976944403910696,0.0,0.0,0.006471328419917311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area_OP2-3/VS,0.0,0.0,0.0021645021645021645,0.0626166286543645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area_52,0.0,0.0,0.0,0.004350933896882866,0.0,0.0,0.0011396629853743247,0.0,0.0,0.0,0.0,0.0,0.0,0.00010164667615368976,0.0,0.0,0.00094969982701896
RetroInsular_Cortex,0.0,0.0,0.0002727768685215493,0.05005817248888756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.514747859181732e-05,0.0,0.0,0.0
Area_PFcm,0.0,0.0,0.0009876218066894916,0.054441840955769615,0.0,0.0,0.02517518155179004,0.0,0.0,0.0,0.0,0.0,0.0,0.000181257930034439,0.0,0.0,0.0
Posterior_Insular_Area_2,0.0,0.0,0.0,0.04116109506121887,0.0,0.0,0.06933034299505131,0.0,0.0003096294767261843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area_TA2,0.0,0.0,0.0,0.04703517587939698,0.0,0.0,0.00531632110579479,0.0,0.0,0.0,0.0,0.0,0.0,0.036462999462461926,0.0,0.0,0.0029214139643587494
Frontal_OPercular_Area_4,0.0,0.0,0.0,0.0020329220430866527,0.0,0.0,0.06060908387997905,0.025755248335893495,0.0,0.0,0.0,0.0,0.0,0.0008727526618956189,0.0,0.0,0.0013503520560717616
Middle_Insular_Area,0.0,0.0,0.0,0.0009479994423532691,0.0,0.0,0.05229274068227227,0.03082919914953933,0.0,0.0,0.0,0.0,0.0,0.00042800890258517377,0.0,0.0,0.0012768538321575637
Pirform_Cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.015555839836254316,0.0,0.013742531233025528,0.0019295334388144947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
