label,ED,SC_W,SPE_W,COM,SI,NAV,DIF,response
7Networks_LH_Vis_2-lh,81.36271822198817,1.0,1433.3445809357718,8.068038697906658e-05,16.001269879086042,0.012290641486087312,0.004485034580448212,1
7Networks_LH_Vis_3-lh,73.07678046454207,1.0,1405.1082034310523,0.00011738728479841529,16.001269879086042,0.013684237231622633,0.003580629815656364,0
7Networks_LH_Vis_4-lh,77.61468736345779,1.0,1494.4044513967117,4.08965513700641e-05,16.001269879086042,0.01288415935140152,0.0034323251578990775,1
7Networks_LH_Vis_5-lh,98.51432097115043,1.0,1415.8447201352897,0.00011452061930247698,16.001269879086042,0.010150808432134922,0.003162378602166361,0
7Networks_LH_Vis_6-lh,65.31212778738282,1.0,1358.5952968895676,5.11454094936418e-05,16.001269879086042,0.015311092041824164,0.0017207094053508867,0
7Networks_LH_Vis_7-lh,89.17403688551313,1.0,1517.8500300451672,8.868934156174191e-05,16.001269879086042,0.011214026357064656,0.004538313025305287,0
7Networks_LH_Vis_8-lh,63.044055566865744,1.0,1536.431827705496,0.00041073285090843797,16.001269879086042,0.015861923713638326,0.0038373671548937688,0
7Networks_LH_Vis_9-lh,86.870798317277,1.0,1485.1668368863532,8.36224960036724e-05,16.001269879086042,0.011511348109726285,0.0030969294932091094,0
7Networks_RH_Cont_PFCl_1-rh,126.066251634067,1.0,1357.9480013743203,4.225528706314507e-05,16.001269879086042,0.007932337061172438,0.0032091532872804305,0
7Networks_RH_Cont_PFCl_2-rh,117.23507201304595,1.0,1359.5556142239475,5.072565551287624e-05,16.001269879086042,0.008529870650727453,0.002180669132059777,0
7Networks_RH_Cont_PFCl_3-rh,116.18167915442145,1.0,1394.7304816010194,5.1058449416858184e-05,16.001269879086042,0.00860720904774377,0.003018561337732706,0
7Networks_RH_Cont_PFCl_4-rh,105.63455687468013,1.0,1543.4285764840686,8.970948927488641e-05,16.001269879086042,0.009466599090166611,0.004204706622644153,0
7Networks_RH_Cont_PFCl_5-rh,104.1053804182869,1.0,1597.9398074121552,5.7192838915479284e-05,16.001269879086042,0.00960565146567912,0.0036907674741459666,0
7Networks_RH_Cont_PFCl_6-rh,102.04546901081405,1.0,1429.7297936114926,8.700748790191878e-05,16.001269879086042,0.009799553176574917,0.0031910112693769536,0
7Networks_RH_Cont_PFCl_7-rh,99.64985796459305,1.0,1665.0970949586324,0.00028208582906371363,16.001269879086042,0.01003513723376619,0.005563445676101517,0
7Networks_RH_Cont_PFCmp_1-rh,60.001664209219705,1.0,2025.3529109697563,0.00042428425294168814,16.001269879086042,0.01666620439914969,0.0032815980360000416,1
7Networks_RH_Cont_PFCmp_2-rh,66.71765888978948,1.0,1847.6371250717184,0.00016153814607852696,16.001269879086042,0.014988535518788128,0.002590843538484069,0
7Networks_RH_Cont_PFCmp_3-rh,85.80121090601642,1.0,1925.783942130618,6.180985256954566e-05,16.001269879086042,0.011654847168711456,0.003388597910403364,0
7Networks_RH_Cont_PFCmp_4-rh,76.19849401356367,1.0,2281.8980723517107,0.0001685401745433366,16.001269879086042,0.013123618950028008,0.006727574826090244,0
7Networks_RH_Cont_PFCv_1-rh,107.79496749492438,1.0,1295.1684883411654,5.016366902253438e-05,16.001269879086042,0.00927687092671637,0.0022021020693890605,0
7Networks_RH_Cont_Par_1-rh,103.47339199756941,1.0,948.9753915729959,5.5297381884827013e-05,16.001269879086042,0.009664320273017531,0.0019352781229821907,0
7Networks_RH_Cont_Par_2-rh,97.74850526069635,1.0,1016.3103258719065,7.401863274967244e-05,16.001269879086042,0.01023033546480316,0.0018737480483875457,1
7Networks_RH_Cont_Par_3-rh,88.32197204653457,1.0,1282.2285783990637,8.188640733354391e-05,16.001269879086042,0.01132221096097272,0.00296429130841868,0
7Networks_RH_Cont_Temp_1-rh,121.88128229405268,1.0,1111.881562600037,4.7342971238676244e-05,16.001269879086042,0.00820470527695454,0.0030527404107315165,1
7Networks_RH_Cont_pCun_1-rh,74.33598785796998,1.0,1335.7229518511544,5.5332712567295816e-05,16.001269879086042,0.013452434397060136,0.0018499577504962623,0
7Networks_RH_Default_PCC_1-rh,74.7516243037122,1.0,1505.5808148745834,5.78217411613936e-05,16.001269879086042,0.013377635727847849,0.002897030193176438,1
7Networks_RH_Default_PCC_2-rh,65.8340154512124,1.0,1741.0493542647835,8.422477989460193e-05,16.001269879086042,0.015189716032756196,0.003279554432748153,1
7Networks_RH_Default_PCC_3-rh,61.917413989063355,1.0,1530.5420188795892,8.472834137010168e-05,16.001269879086042,0.016150545308249352,0.002610145223251732,1
