69 14682 3 46 13 8 4 0 2 6 405 199 53 71 786 113 19 23 7529 551 23178 4996 380 110 1212 153 51 56 357 77 23 0 15 310 17 80 1616 1902 7 6 40 1031 7634 864 971 170 2 31 334 14 1141 2613 311 16 64 540 97 2140 2782 2439 7997 11624 47 21 16 213 32 26 160 43 1 0 565 2475 17 0 12 3 0 3 1 5 5 2 4 73 5 1 0 41 70 2 2 170 169 46 16 6 4 43 2 83 0 22 121 1 1 2 16 4 11 33 20 0 0 4 30 167 25 63 4 0 2 33 1 14 7 2 3 4 0 37 42 102 2 7 12 0 0 2 154 4 1 4 5 2 9 8 24 11
244 1177 1 3 47 24 14 12 19 230 8831 24 112 51 101 124 17 69 820 1316 4996 52586 1953 398 69 32 42 5 20 382 81 7 6 274 32 27 1788 1251 22 0 23 1830 9008 1985 22787 16 2 145 876 38 655 710 31 10 8 50 44 243 932 84 528 13498 12 103 56 950 42 0 3 2 5 9 392 377 4 2 25 0 1 2 6 4 2 2 3 206 1 1 0 2 10 0 3 220 336 33 92 20 6 22 0 54 0 2 96 5 1 0 10 2 5 15 8 0 0 3 67 228 15 250 1 1 2 26 0 6 4 0 0 0 0 25 69 105 3 6 34 0 6 2 429 31 0 0 3 1 4 12 16 8
12 51 1 3 3 100 64 53 51 240 410 9 4 4 21 95 9 10 188 205 380 1953 8812 16 78 22 68 2 6 562 14 0 11 42 278 21 360 55 0 1 21 7183 202 6052 4549 2 0 9 50 2 689 24 10 1 4 12 53 35 78 16 51 7334 3 9 1 1725 82 1 2 2 2 28 32 51 9 0 3 1 0 1 1 0 2 0 0 12 1 0 0 9 8 0 2 12 26 4 15 3 1 7 1 24 3 3 37 0 0 0 3 1 2 5 1 0 0 2 14 25 1 35 0 2 0 8 0 6 1 0 0 3 0 9 8 13 0 0 5 0 0 0 35 6 2 0 0 0 5 2 4 3
12297 69 17 42 501 584 147 39 42 8 42 309 3866 2309 2343 1097 212 849 148 35 110 398 16 21140 361 131 52 48 192 116 3938 93 8 146 79 61 159 276 119 27 152 1513 260 856 185 181 15 2621 723 203 19 9 929 88 124 99 64 31 50 43 46 133 2143 6557 16226 48 283 19 82 47 205 54 31 280 11 270 3 11 3 338 694 41 3 7 3 2 45 36 85 370 602 1 8 17 16 6 2 0 512 39 8 47 8 29 114 484 94 2 4 7 11 11 20 7 3 6 355 19 25 2 16 7 10 23 7 2 2 60 103 57 2 12 5 9 3 2 5 15 630 75 26 115 6 4 6 537 19 6 17 8
169 155 51 217 41 16 8 4 4 6 89 304 84 119 1811 463 80 94 2564 562 1212 69 78 361 14849 4698 11188 855 1483 4276 61 4 118 767 36 242 2462 2287 7 7 222 1802 93 1643 89 814 7 114 1204 38 303 6 287 96 370 2732 19120 162 249 699 1429 535 18 77 28 188 84 1518 322 541 6 5 495 11975 99 5 12 99 17 2 3 12 24 5 1 24 13 0 1 83 307 9 7 196 90 63 10 7 31 284 126 613 78 171 1075 1 0 12 95 12 88 127 103 0 0 78 92 103 108 17 78 117 18 247 7 45 5 1 0 20 11 179 30 102 7 19 12 1 13 7 142 57 163 19 113 1 105 51 119 98
70 12 116 12501 11 6 7 1 33 9 8 8121 141 919 684 583 1054 319 95 14 153 32 22 131 4698 44659 2718 4144 2085 634 15 2 903 2859 25 10016 1804 2547 37 91 19743 336 29 577 39 2657 45 95 4173 1656 198 1 537 12 149 6704 7924 8 22 17 371 97 54 16 14 17 507 8578 1335 127 2 18 230 4396 516 0 2 912 162 5 4 10 13 52 0 0 79 6 6 64 175 25 4 13 11 12 1 1 7 380 1805 1041 1349 160 1426 2 0 13 78 4 115 48 87 1 0 240 19 7 35 2 950 712 2 145 23 12 0 11 3 8 36 151 5 10 3 4 6 3 1 2 10 201 1281 25 17 1 87 20 132 70
25 13 770 98 4 25 34 53 132 19 72 132 26 44 514 898 78 32 1231 704 51 42 68 52 11188 2718 29195 870 985 12764 14 2 429 371 11 253 140 133 4 7 708 313 32 179 215 541 123 15 1346 27 20 2 57 39 165 163 19481 18 352 30 41 35 5 7 5 1014 499 4271 105 267 0 57 44 334 221 4 9 497 20 0 4 11 17 42 4 31 22 3 4 60 199 13 10 166 90 59 11 7 27 858 903 1994 244 119 3124 2 2 29 287 17 311 185 228 0 0 298 98 92 168 25 149 675 22 401 6 55 5 7 3 7 82 483 34 76 7 29 13 0 15 6 215 181 701 15 53 2 224 69 350 181
18 2 1398 4170 10 6 11 20 5 0 6 605 76 211 319 341 326 111 94 11 56 5 2 48 855 4144 870 24869 2903 132 0 0 13 67 2 33 129 83 24 20 143 33 4 30 3 28852 44 56 737 143 12 0 88 5 36 106 838 6 10 20 67 25 34 2 1 4 379 25455 193 245 0 0 21 170 8 1 0 903 139 1 3 4 23 40 1 0 45 2 7 32 122 7 7 4 1 0 0 0 3 67 1088 171 1042 444 184 0 0 4 20 0 25 4 23 2 0 85 1 0 6 0 1058 323 2 4 13 3 0 1 2 10 6 10 1 3 2 2 0 1 0 0 2 134 574 22 32 1 40 5 27 6
106 24 4356 5756 42 6 42 134 5 1 20 2602 262 584 4180 8935 733 705 484 41 357 20 6 192 1483 2085 985 2903 24282 1316 7 0 23 262 10 184 965 846 67 47 313 177 11 260 21 47600 562 178 472 420 123 2 1375 148 836 258 889 21 75 72 466 174 144 8 9 52 1003 2311 9403 16602 1 10 114 883 19 5 1 4705 431 16 11 57 1406 19 3 1 158 9 17 889 8659 21 13 60 32 28 0 2 14 53 170 175 533 9906 223 0 0 0 10 0 6 23 20 1 1 21 7 3 7 3 1443 523 7 17 47 10 1 30 14 92 7 72 5 58 14 24 6 1 0 2 19 449 176 327 3663 0 5 8 40 2
109 41 404 66 39 1679 1799 2843 6906 840 341 231 32 76 572 5277 42 45 954 693 77 382 562 116 4276 634 12764 132 1316 35280 185 32 586 541 13 311 221 157 10 8 563 1128 103 296 1920 128 8641 35 1144 34 31 4 101 159 348 58 3612 51 268 29 36 69 8 73 6 12406 8903 578 109 315 75 12769 45 255 291 29 32 1024 58 22 30 48 59 72 15 46 59 8 11 326 691 50 25 390 236 181 27 39 106 1620 1265 3857 666 261 7552 16 5 86 680 74 684 563 593 4 1 655 324 248 449 53 448 1683 48 1031 18 189 19 34 21 43 115 958 73 213 26 53 94 2 38 36 501 786 1325 29 115 19 644 191 692 501
