label,response,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF
R_PGi,,101.34580733354186,0.0,inf,0.007813700135505188,0.005020690685432897,0.000137673934051566,inf,17.51909885647568,0.006851629605288582,0.002872546193656985
R_PGs,,95.98142912138869,0.0,inf,0.007849357639968175,0.005103774001670073,0.0003261031842850007,inf,16.086671931922112,0.006625585387032908,0.003701746236928027
R_RSC,,55.037110720495605,0.0018329936647431364,69.01648000000002,0.014489292992050592,0.006652699777897445,0.006462137188174769,8.01243638367821,8.01243638367821,0.014489292992050592,0.004193056473389293
R_POS2,,69.62970047604502,0.0,inf,0.009158326026515552,0.005213947303013772,0.0004231706378255054,inf,12.735670639884654,0.007229567543174616,0.0035146547329622632
R_PCV,,53.49985726097005,0.0007468023490879064,107.53818000000001,0.009991157825324587,0.005753702844565763,0.0033083508565142456,9.307839812549592,13.480702373435165,0.009299022914466284,0.002722801481966169
R_7m,,60.50215908992215,0.0,inf,0.009750608681746955,0.0050376232419839,0.0005945522059090223,inf,12.952087536546918,0.007644544577785687,0.0026354665918183473
R_POS1,,70.71333018836371,0.0,inf,0.01105633556774504,0.005278019722324398,0.0002865530313187047,inf,12.652327373416174,0.01105633556774504,0.002848574826594488
R_23d,,44.576391749966064,0.0004216509643742786,83.20966666666668,0.012770436803669133,0.005908703221522305,0.0029922076083452403,10.132517024071907,16.532578500506773,0.012017834466348059,0.00246838793500857
R_v23ab,,61.62646347959424,0.0,inf,0.010729553775463705,0.005030363509716765,0.00036560222278986026,inf,12.960638457932497,0.010077345104429244,0.0016797172514775355
R_d23ab,,50.38524954941249,0.0,inf,0.011163427895754122,0.0055777145830069085,0.000741447111299913,inf,12.21787091002441,0.009145785466578649,0.002374283691523069
R_31pv,,56.07935254924331,0.0,inf,0.010981197370846766,0.004804617346044899,0.0005436323849996441,inf,17.019535169350988,0.009182626837328848,0.00202371686173448
R_p24pr,,49.229506683380585,0.0,inf,0.011277761337307918,0.0059490860145142085,0.0013933532366333288,inf,17.27791192763029,0.008797526510906263,0.0026907650421053707
R_33pr,,58.786665126117995,0.0,inf,0.011474177020390301,0.006160308810020173,0.001418242145233535,inf,13.664875499629044,0.010121375535420765,0.002644898571473674
R_a24pr,,64.11265374643145,0.0,inf,0.009413575656342736,0.005081132230949703,0.00042146494915443466,inf,18.519076018431853,0.008483337114073907,0.003047630297336916
R_p32pr,,61.208516523563546,0.0,inf,0.009483437176970422,0.005575967812312273,0.0007440267229677358,inf,18.529736246949614,0.007896901335892924,0.001924754066333784
R_a24,,91.91877608784708,0.0,inf,0.00842370819819921,0.0042916375065655795,7.951332935193401e-05,inf,20.51401803628411,0.0054701895878401935,0.0025252232393221338
R_d32,,80.88802572463527,0.0,inf,0.00826944469472914,0.004279761359858213,0.00019055347535602905,inf,21.873725533018916,0.006049223255537097,0.0019294078342598957
R_8BM,,69.76204395099559,0.0,inf,0.00839237227354904,0.00485281521781169,0.000659503127179691,inf,18.91922483412159,0.00552058266437673,0.0033825736384257787
R_p32,,101.56651328808039,0.0,inf,0.007682303904503431,0.0038840096482824172,3.165924793201935e-05,inf,23.53851423140537,0.005266492676365845,0.0015676937270563127
R_10r,,104.14950587734629,0.0,inf,0.0071675840706393115,0.0042306431464058155,2.556774074278724e-05,inf,23.997128153349518,0.005006179863407343,0.0021117118033054127
R_9m,,96.06488331240392,0.0,inf,0.00752813844060898,0.004751671252283306,0.00024430356181541274,inf,21.29657501435622,0.005561307183028849,0.0038334283443421965
R_10v,,110.53283963266769,0.0,inf,0.006938078556614161,0.004783069839005958,2.51096910176838e-05,inf,23.62862937463446,0.004768023939107765,0.0028420494990464714
R_ProS,,81.8508682390393,0.0,inf,0.010615165844982061,0.003928405682249779,7.293069208066752e-05,inf,15.531872858114086,0.010615165844982061,0.0017246207097435188
R_DVT,,76.37599593305018,0.0,inf,0.008980352784178773,0.00465011666525651,0.00014689305350199726,inf,14.302022468121073,0.005794555548106175,0.0028828981568824116
R_31pd,,61.783633964766075,0.0,inf,0.010646597688070017,0.004864078945864255,0.0005710110149052067,inf,15.133242649729427,0.008960481944897696,0.0014788670079546333
R_31a,,49.81961378288766,0.0012409275154710556,92.69099999999999,0.010958944942918141,0.005246669100933024,0.005080738352751573,8.575219335429793,14.005902530645685,0.010788533946122062,0.002153318150049011
R_25,,87.68552429757156,0.0,inf,0.008031343818435623,0.00401435117919757,2.9251347129254684e-05,inf,21.70620852944269,0.005885521982514999,0.001838854851985394
R_s32,,96.38446974546812,0.0,inf,0.008075785486059688,0.0036510997280221075,1.2890514744373609e-05,inf,23.29798828655558,0.005535741224776516,0.0012512919693162291
R_pOFC,,94.7719633684023,0.0,inf,0.00835816794614314,0.004508285162691929,7.905086127768308e-06,inf,22.644727579827755,0.005356355548847359,0.001547664921449432
R_a32pr,,72.93966996008763,0.0,inf,0.008816468457761623,0.0044207765761258445,0.0002861146958341755,inf,19.249923289688752,0.005935603685914919,0.0019255247742339333
R_p24,,80.56481613846027,0.0,inf,0.009947197869800943,0.004484665101457836,0.00014543431795600213,inf,17.47301923449189,0.006573666811068216,0.0029512040760217247
R_4,,68.97325023476328,0.0031188195010996866,115.47280000000002,0.008945649632181724,0.01511774862627962,0.012180077635789642,7.245638122833773,13.827895779168111,0.008660048080586942,0.004254897818422456
R_3b,,77.67963728520273,0.0013551756789005717,120.8872,0.008272174390671634,0.010822256544474804,0.0063389076556555155,8.44815829505046,8.44815829505046,0.008272174390671634,0.0025137805174689563
R_5m,,49.17450028982752,0.0021779944047630785,114.96379999999999,0.008981765937335294,0.011139080123628298,0.010034869741478743,7.763637935475169,14.53027687063711,0.008698390275895543,0.0021722963296245098
R_5mv,,53.88933643381285,0.0015948810668209843,99.79068000000001,0.010256109410534212,0.007799669494755854,0.00744948235976352,8.213189339660744,14.122533660475579,0.010020975906768046,0.002201018248669232
R_23c,,51.46761236457975,0.0008740153416391244,93.73361999999999,0.010689658268728598,0.006796385379589486,0.004193466745039345,9.080907674505752,15.845219560244953,0.01066853067234574,0.002516794717327114
