regionName,1_Visual_A,2_Visual_B,3_Somatomotor_A,4_Somatomotor_B,5_Temporal_Parietal,6_Frontoparietal_Area,7_Dorsal_Attention_B,8_Salience+Ventral_Attention_A,9_Salience+Ventral_Attention_B,10_Control_A,11_Control_B,12_Control_C,13_Default_A,14_Default_B,15_Default_C,16_Limbic_A,17_Limbic_B
PEF_L,0.0,0.0,0.0,0.0041099562200315,0.0001776935378783,0.0158660202732481,0.0006796852534441,0.0001612036539494,0.0,0.0,0.0,0.0428052643778813,0.0,0.0,0.0,0.0,0.0
55b_L,0.0,0.0,0.0009615384615384,0.0135620037860593,0.0,0.0140476518385897,0.0041428535775786,0.0019469207910646,0.0,0.0,0.0,0.0217995718819968,0.0083435169187981,0.0048925388782107,0.0,0.0,0.0007397639188189
SFL_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0058788385709164,0.0184749583455846,0.0,0.0,0.0,0.0023574341686508,0.0047930460213656,0.0060807523917626,0.0,7.21774120788899e-05,0.0459989368022764
6d_L,0.0,0.0,0.0439745508982036,0.0,5.487570652472151e-05,0.0405911461816236,0.0,0.0,0.0,0.0,0.0,0.0003372925048786,0.0,0.0,0.0,0.0,0.0
6v_L,0.0,0.0,0.0,0.016340141725719,0.0043124896334383,0.0441355108651639,0.0026561078183025,0.0,0.0,0.0,0.0,0.0087789499211834,4.161984434178216e-05,0.0,0.0,0.0,0.0
8Av_L,0.0,0.0,0.0,0.0,0.0,0.000561867898614,0.000185782959058,0.0002379366136861,0.0,0.0,0.0,0.0031167640655437,0.0544654536805803,0.0022407664966774,0.0,0.0066390041493775,0.0225243195139165
8Ad_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078069910345522,0.0,0.0,0.0,0.0,0.0062326006565006,0.0,0.0,0.0385528859431096,0.0003818372736818
8BL_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036024496657727,0.0,0.0,0.0187721516732861,0.0695668305352008
9p_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219674780325219,0.0,0.0,0.0,0.0,0.0004164064126587,0.0,0.0,0.0264153031672538,0.026613545816733
8C_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001017190519784,0.0,0.0,0.0,0.0438787227284942,0.0281465968586387,0.0,0.0,0.0,0.0008964302865375
44_L,0.0,0.0,0.0,0.0,0.0,6.506180871828237e-05,0.0106309110499221,0.0394284591967003,0.0,0.0,0.0,0.0190368218427454,0.0005289067903494,0.0,0.0,0.0,0.0276464510473089
